variable,beta,odds_ratio,ci_lower,ci_upper,p_value,significant,abs_log_or,display_name
high_depression,0.6746668721174066,1.963378810789599,1.3496755339321282,2.856135610183945,0.00041863194120459515,True,0.6746668721174066,High Depression
parent_education_Low,-0.5989131481045865,0.5494084373194642,0.41898793254036204,0.7204255959537399,1.4806803440134039e-05,True,0.5989131481045866,Parent Education: Low vs High
food_insecure,0.4091125227413355,1.5054811118169231,1.1405231090928936,1.9872226699905637,0.0038741861146260317,True,0.4091125227413356,Food Insecure
school_absence_any,0.28496412980602004,1.3297143301550507,1.0709185223996847,1.651050161928001,0.009868789369266545,True,0.2849641298060201,Any School Absence
high_anxiety,0.26763326209393057,1.3068677741684873,1.0186295822566585,1.676667759222572,0.035278034888574825,True,0.2676332620939306,High Anxiety
insured,0.26176264319103976,1.299218127559744,0.7572558930858911,2.2290585763568185,0.3419056840603417,False,0.2617626431910397,Insured
parent_education_Medium,-0.1762231368674214,0.8384308776231767,0.6669207821040515,1.0540477301280067,0.1312541822427002,False,0.1762231368674214,Parent Education: Medium vs High
snap_receive,0.11247260651140141,1.1190416020395437,0.8617885764586706,1.4530873828022757,0.3987243065834304,False,0.11247260651140144,SNAP Recipient
